Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
Lucy Sullivan is Getting Married,Marian Keyes,https://www.booktopia.com.au/book/9781405935166.html,ePUB,15.99,15.99,1405935162,13-07-2017,Penguin Books Ltd,672
The Lost (Paula Maguire 1),Claire McGowan,https://www.booktopia.com.au/book/9780755386390.html,ePUB,11.99,11.99,755386396,11-04-2013,Headline,305
Homage to Catalonia,George Orwell,https://www.booktopia.com.au/book/9780141911717.html,ePUB,15.99,15.99,141911719,05-06-2003,Penguin Books Ltd,272
Artemis Fowl and The Arctic Incident,Eoin Colfer,https://www.booktopia.com.au/book/9780141929576.html,ePUB,9.99,9.99,014192957X,06-06-2002,Penguin Random House Children's UK,336
Made Things,Adrian Tchaikovsky,https://www.booktopia.com.au/book/9781250232984.html,ePUB,6.22,5.99,1250232988,05-11-2019,Tor Publishing Group,
The Five Dysfunctions of a Team,Patrick M. Lencioni,https://www.booktopia.com.au/book/9780470893869.html,ePUB,29.99,29.99,470893869,30-05-2016,Wiley Professional Development (P&T),240
All the Bright Places,Jennifer Niven,https://www.booktopia.com.au/book/9780141357041.html,ePUB,12.99,12.99,141357045,08-01-2015,Penguin Random House Children's UK,300
Boy,Roald Dahl,https://www.booktopia.com.au/book/9780141903125.html,ePUB,9.99,9.99,141903120,04-09-2008,Penguin Random House Children's UK,192
Blood Ties,Samantha Hayes,https://www.booktopia.com.au/book/9780755376605.html,ePUB,12.99,12.99,755376609,04-03-2010,Headline,307
The Hunger Games (USA Edition),Suzanne Collins,https://www.booktopia.com.au/book/9780439023481.html,Hardcover,41.9,41.9,439023483,01-10-2008,Scholastic US,384
The Sapphire Widow,Dinah Jefferies,https://www.booktopia.com.au/book/9780241980750.html,ePUB,15.99,15.99,241980755,05-04-2018,Penguin Books Ltd,400
Tao Te Ching,Lao Tzu,https://www.booktopia.com.au/book/9780141922324.html,ePUB,10.99,10.99,014192232X,01-01-2000,Penguin Books Ltd,192
American Royals,Katharine McGee,https://www.booktopia.com.au/book/9780241365984.html,ePUB,9.99,9.99,241365988,01-09-2019,Penguin Random House Children's UK,368
The Prize,Julie Garwood,https://www.booktopia.com.au/book/9781101533475.html,ePUB,5.99,5.99,1101533471,05-07-2011,Penguin Publishing Group,1
Business Model Generation,Alexander Osterwalder,https://www.booktopia.com.au/book/9780470901038.html,PDF,45.09,45.09,470901039,23-07-2010,Wiley Professional Development (P&T),288
Alone in Berlin,Hans Fallada,https://www.booktopia.com.au/book/9780141908731.html,ePUB,15.99,15.99,141908734,28-01-2010,Penguin Books Ltd,608
Feel Better In 5,Dr Rangan Chatterjee,https://www.booktopia.com.au/book/9780241397817.html,ePUB,19.99,19.99,241397812,26-12-2019,Penguin Books Ltd,272
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,https://www.booktopia.com.au/book/9780141926902.html,ePUB,12.99,12.99,141926902,01-05-2008,Penguin Random House Children's UK,288
Ancillary Sword,Ann Leckie,https://www.booktopia.com.au/book/9781405525855.html,ePUB,11.99,11.99,1405525851,07-10-2014,"Little, Brown Book Group",384
Couples That Work,Jennifer Petriglieri,https://www.booktopia.com.au/book/9780241379011.html,ePUB,18.99,18.99,241379016,10-10-2019,Penguin Books Ltd,304
Born Fearless,Phil Campion,https://www.booktopia.com.au/book/9780857384416.html,ePUB,12.99,12.99,857384414,25-09-2011,Quercus,352
Safe Haven,Nicholas Sparks,https://www.booktopia.com.au/book/9780748122660.html,ePUB,11.99,11.99,748122664,02-09-2010,"Little, Brown Book Group",320
Dubliners,James Joyce,https://www.booktopia.com.au/book/9781101042182.html,ePUB,8.55,7.99,1101042184,06-02-2007,Penguin Publishing Group,272
Let's Explore Diabetes With Owls,David Sedaris,https://www.booktopia.com.au/book/9780748123056.html,ePUB,12.99,12.99,748123059,23-04-2013,"Little, Brown Book Group",288
The Autobiography of Saint Therese,,https://www.booktopia.com.au/book/9780307778086.html,ePUB,22.01,17.99,307778088,26-01-2011,Random House Publishing Group,
Night Watch,Terry Pratchett,https://www.booktopia.com.au/book/9781407035321.html,ePUB,15.99,15.99,1407035320,01-12-2009,Transworld,480
The Twits,Roald Dahl,https://www.booktopia.com.au/book/9780141930169.html,ePUB,9.99,9.99,141930160,06-09-2007,Penguin Random House Children's UK,112
Persuasion,Jane Austen,https://www.booktopia.com.au/book/9780553904567.html,ePUB,3.99,3.99,553904566,29-01-2008,Random House Publishing Group,
Healing Back Pain,John E. Sarno,https://www.booktopia.com.au/book/9780759520844.html,ePUB,12.99,12.99,759520844,15-03-2001,Grand Central Publishing,300
Shadow of Night,Deborah Harkness,https://www.booktopia.com.au/book/9780755384761.html,ePUB,13.99,13.99,755384768,10-07-2012,Headline,605
The Lollipop Shoes (Chocolat 2),Joanne Harris,https://www.booktopia.com.au/book/9781407039657.html,ePUB,15.99,15.99,1407039652,06-07-2010,Transworld,592
The Language Instinct,Steven Pinker,https://www.booktopia.com.au/book/9780141929682.html,ePUB,16.99,16.99,141929685,27-02-2003,Penguin Books Ltd,496
Hardwired,Meredith Wild,https://www.booktopia.com.au/book/9780989768412.html,Paperback,24.45,24.45,989768414,24-01-2015,WATERHOUSE PR,288
The Green Mile,Stephen King,https://www.booktopia.com.au/book/9780575087309.html,ePUB,13.99,13.99,575087307,25-11-2010,Orion,448
The Bhagavad Gita,,https://www.booktopia.com.au/book/9780141396217.html,ePUB,14.99,14.99,141396210,01-05-2014,Penguin Books Ltd,288
You Can't Hide (The Chicago Series Book 4),Karen Rose,https://www.booktopia.com.au/book/9780755384839.html,Paperback,26.25,26.25,755384830,02-07-2015,Headline Publishing Group,448
My Mother's Secret,J.L. Witterick,https://www.booktopia.com.au/book/9780698151529.html,ePUB,23.99,19.99,698151526,05-09-2013,Penguin Publishing Group,208
